anio_inicial,anio_final,categoria_inicial,categoria_final,n_investigadores
2013,2014,Senior,Senior,591
2013,2014,Senior,Asociado,20
2013,2014,Senior,Junior,10
2013,2014,Asociado,Senior,244
2013,2014,Asociado,Asociado,927
2013,2014,Asociado,Junior,349
2013,2014,Junior,Senior,152
2013,2014,Junior,Asociado,557
2013,2014,Junior,Junior,1967
2014,2015,Senior,Emérito,48
2014,2015,Senior,Senior,808
2014,2015,Senior,Asociado,81
2014,2015,Senior,Junior,20
2014,2015,Asociado,Emérito,6
2014,2015,Asociado,Senior,199
2014,2015,Asociado,Asociado,1392
2014,2015,Asociado,Junior,191
2014,2015,Junior,Emérito,7
2014,2015,Junior,Senior,87
2014,2015,Junior,Asociado,598
2014,2015,Junior,Junior,3420
2015,2017,Senior,Emérito,32
2015,2017,Senior,Senior,1029
2015,2017,Senior,Asociado,38
2015,2017,Senior,Junior,12
2015,2017,Asociado,Emérito,22
2015,2017,Asociado,Senior,367
2015,2017,Asociado,Asociado,1737
2015,2017,Asociado,Junior,301
2015,2017,Junior,Emérito,12
2015,2017,Junior,Senior,129
2015,2017,Junior,Asociado,885
2015,2017,Junior,Junior,3599
2017,2019,Senior,Emérito,29
2017,2019,Senior,Senior,1428
2017,2019,Senior,Asociado,91
2017,2019,Senior,Junior,81
2017,2019,Asociado,Emérito,13
2017,2019,Asociado,Senior,726
2017,2019,Asociado,Asociado,1793
2017,2019,Asociado,Junior,558
2017,2019,Junior,Emérito,3
2017,2019,Junior,Senior,192
2017,2019,Junior,Asociado,1282
2017,2019,Junior,Junior,3796
2019,2021,Senior,Emérito,45
2019,2021,Senior,Senior,1928
2019,2021,Senior,Asociado,314
2019,2021,Senior,Junior,88
2019,2021,Asociado,Emérito,16
2019,2021,Asociado,Senior,701
2019,2021,Asociado,Asociado,2170
2019,2021,Asociado,Junior,960
2019,2021,Junior,Emérito,7
2019,2021,Junior,Senior,290
2019,2021,Junior,Asociado,1276
2019,2021,Junior,Junior,5554
